WBAL,Power,HRM
7.399,224.6,170
7.382,226.3,170
7.366,227.1,170
7.339,232.6,170
7.345,212.3,170
7.330,219.6,170
7.310,225.3,169
7.290,228.2,169
7.261,234.6,169
7.254,226.3,169
7.243,224.6,169
7.236,221.3,169
7.234,217.7,169
7.241,210.3,169
7.247,201.7,169
7.241,209.8,168
7.203,229.4,167
7.166,239.2,166
7.164,226.1,166
7.163,219.6,165
7.155,219.8,165
7.093,246.4,165
7.047,252.2,164
7.040,235.6,165
7.006,240.8,165
6.974,242.4,165
6.942,243.2,165
6.912,242.6,165
6.887,239.8,166
6.866,236.4,166
6.857,228.7,167
6.840,229.3,167
6.758,261.7,167
6.729,251.3,167
6.701,246.2,167
6.679,240.1,167
6.663,234.5,168
6.646,231.8,168
6.628,231.4,168
6.614,228.7,168
6.600,227.8,168
6.582,229.4,168
6.563,230.2,168
6.531,237.6,168
6.499,241.3,168
6.487,233.2,168
6.467,232.6,168
6.439,236.8,168
6.430,229.4,168
6.421,225.7,168
6.411,224.3,168
6.419,210.7,168
6.394,224.3,168
6.369,231.2,168
6.344,234.6,168
6.319,236.3,168
6.299,234.6,168
6.279,233.8,167
6.158,284.4,168
6.157,249.2,167
6.154,233.1,168
6.155,222.6,168
6.125,232.8,168
6.045,263.4,168
6.038,241.7,168
6.045,224.3,169
6.043,220.2,169
6.021,227.6,168
6.016,223.3,169
5.990,231.6,169
5.934,250.3,169
5.841,278.7,169
5.781,276.3,169
5.739,266.2,170
5.729,245.1,170
5.719,234.5,170
5.675,246.8,170
5.639,248.4,171
5.613,244.2,171
5.588,242.1,171
5.564,240,172
5.547,235.5,172
5.541,228.3,172
5.507,238.1,173
5.467,246.6,173
5.427,250.8,173
5.407,242.4,173
5.411,226.7,173
5.406,223.3,173
5.346,248.7,173
5.291,259.3,173
5.197,284.2,173
5.159,268.6,173
5.143,249.8,173
5.123,242.9,174
5.105,237.9,174
5.026,266,174
4.991,258,174
4.996,234.5,174
4.975,235.2,174
4.951,237.6,174
4.931,236.3,174
4.929,227.2,174
4.935,218.1,174
4.940,214.5,174
4.925,222.3,174
4.913,225.1,173
4.908,223.1,173
4.885,230.5,173
4.863,234.3,173
4.830,241.1,172
4.777,255.1,172
4.740,254,172
4.718,246,172
4.696,242,172
4.674,240,172
4.685,175,172
4.696,160,172
4.667,202.5,172
4.600,242.8,171
4.551,253.9,171
4.536,242.4,170
4.518,238.2,170
4.501,236.1,169
4.451,251.1,169
4.428,245,169
4.440,224.5,170
4.436,222.3,170
4.410,232.1,170
4.413,223.1,170
4.415,218.5,171
4.427,208.8,171
4.392,229.9,172
4.382,228.4,173
4.371,227.7,173
4.382,216.9,174
4.392,211.4,175
4.372,224.2,175
4.383,112.1,176
4.395,56.1,176
4.406,28,176
4.319,166,175
4.311,195,175
4.264,229.5,176
4.181,264.8,176
4.080,290.9,176
4.006,290.9,176
3.960,277.5,176
3.922,266.2,176
3.865,270.1,175
3.809,272.1,175
3.756,271,175
3.703,271,175
3.637,277,175
3.574,279,175
3.511,280,175
3.464,272.5,175
3.409,272.8,175
3.356,271.9,174
3.294,276.4,174
3.234,277.2,174
3.186,272.1,174
3.147,264.6,174
3.123,253.8,174
3.122,236.4,174
3.093,242.2,174
3.044,255.1,174
2.973,272.5,174
2.885,289.8,174
2.822,285.9,173
2.770,278.4,173
2.710,278.7,173
2.669,269.9,173
2.623,267.4,173
2.565,272.7,174
2.505,275.9,173
2.473,263.9,173
2.468,244.5,174
2.468,232.2,174
2.467,226.6,174
2.465,223.8,174
2.452,228.4,174
2.367,266.7,174
2.282,285.9,173
2.198,294.9,173
2.126,294,173
2.089,275.5,173
2.042,271.7,173
1.970,281.9,173
1.903,284.9,174
1.856,276.5,174
1.809,271.7,175
1.771,265.4,175
1.711,273.2,176
1.653,276.6,176
1.602,274.3,176
1.548,274.6,176
1.487,278.8,176
1.430,278.4,176
1.375,277.7,177
1.320,277.4,177
1.274,272.2,177
1.221,273.6,177
1.168,274.3,177
1.124,270.1,177
1.101,258.1,177
1.068,256.5,177
1.025,260.8,177
993,257.4,177
1.011,231.2,177
1.027,218.6,177
1.015,226.3,177
993,235.6,177
938,256.3,176
931,243.2,176
873,261.6,176
823,267.3,176
775,268.6,176
741,262.8,177
669,278.9,177
676,247.5,177
666,240.2,177
674,227.6,177
610,257.3,177
546,272.2,177
483,279.1,177
431,277,176
399,266.5,176
327,280.8,175
257,287.4,176
199,284.2,176
142,282.6,176
85,281.8,176
40,275.4,176
-9,274.2,176
-59,274.1,176
-111,275,176
-158,273.5,176
-201,270.3,177
-262,278.1,177
-326,283.1,177
-388,285,177
-440,281,177
-486,275.5,178
-525,269.8,178
-587,278.4,178
-648,282.7,178
-721,290.3,177
-775,284.7,177
-804,269.8,177
-843,266.9,177
-909,279.5,177
-969,282.2,177
-1.003,271.1,178
-1.067,280.6,178
-1.096,267.8,178
-1.133,265.4,178
-1.178,268.2,178
-1.202,259.1,179
-1.254,269,179
-1.314,277.5,179
-1.365,277.3,178
-1.409,274.1,178
-1.452,271.6,178
-1.483,264.8,178
-1.542,275.4,177
-1.602,280.7,177
-1.661,283.3,177
-1.712,280.7,178
-1.748,271.8,178
-1.797,274.4,178
-1.806,255.2,178
-1.804,240.1,178
-1.821,242.1,178
-1.853,251,178
-1.889,257,178
-1.900,247.5,178
-1.910,242.8,178
-1.958,258.9,178
-2.000,264.4,178
-2.027,259.2,178
-2.047,253.6,178
-2.029,231.8,179
-2.044,236.9,179
-2.078,249.5,180
-2.129,264.2,179
-2.180,271.6,179
-2.238,278.3,179
-2.264,266.2,179
-2.331,281.1,179
-2.363,270.5,178
-2.365,250.3,178
-2.388,250.6,178
-2.437,263.8,179
-2.485,270.4,179
-2.462,183.2,179
-2.438,139.6,179
-2.415,69.8,180
-2.392,34.9,180
-2.368,17.5,181
-2.345,8.7,182
-2.322,4.4,181
-2.299,2.2,180
-2.276,50.6,179
-2.253,120.3,179
-2.230,155.1,179
-2.284,218.6,179
-2.322,242.3,179
-2.298,217.1,178
-2.314,230.6,178
-2.330,237.3,178
-2.307,211.1,177
-2.284,207.6,177
-2.261,199.3,176
-2.238,195.1,175
-2.215,160.1,175
-2.192,145,174
-2.169,137.5,173
-2.153,174.8,173
-2.158,203.9,173
-2.135,170.9,172
-2.112,154.5,173
-2.090,146.2,172
-2.067,148.6,172
-2.057,183.3,172
-2.173,263.7,173
-2.290,303.8,173
-2.444,343.4,173
-2.506,316.7,174
-2.568,303.4,174
-2.624,294.2,175
-2.682,290.6,175
-2.741,288.8,174
-2.833,304.9,174
-2.913,306.9,174
-2.986,305,174
-3.043,295.5,174
-3.095,288.2,175
-3.153,288.1,175
-3.212,288.1,176
-3.305,305.5,176
-3.400,315.3,176
-3.471,308.1,177
-3.517,292.1,177
-3.572,288.5,177
-3.622,284.8,177
-3.673,282.9,177
-3.748,294.4,177
-3.802,289.2,177
-3.891,304.6,177
-3.922,283.3,177
-3.953,272.7,178
-3.996,273.3,178
-4.064,286.2,178
-4.137,295.1,178
-4.143,266,178
-4.148,251.5,178
-4.161,247.8,178
-4.175,246.4,178
-4.200,251.7,178
-4.263,272.8,178
-4.368,304.9,178
-4.468,318,178
-4.533,307.5,178
-4.555,280.7,178
-4.615,286.4,178
-4.670,286.7,178
-4.724,286.8,178
-4.763,278.9,178
-4.877,312.5,179
-4.887,277.7,178
-4.939,281.4,178
-4.912,238.2,178
-4.908,233.6,178
-4.973,265.8,178
-5.110,317.4,178
-5.213,326.7,178
-5.323,334.8,178
-5.425,335.4,178
-5.499,321.2,178
-5.566,311.1,178
-5.633,306.1,178
-5.694,300.5,178
-5.757,298.8,179
-5.810,292.9,179
-5.943,329.9,179
-6.023,322.5,179
-6.132,332.7,179
-6.200,317.9,180
-6.269,310.9,180
-6.302,289.5,180
-6.362,292.2,180
-6.466,315.6,181
-6.570,327.3,181
-6.648,320.7,181
-6.724,316.3,181
-6.771,299.2,181
-6.817,290.6,181
-6.885,297.3,181
-6.967,307.6,181
-7.060,318.8,181
-7.133,313.9,181
-7.205,311,182
-7.276,309.5,182
-7.343,306.7,182
-7.404,302.4,182
-7.486,310.7,182
-7.540,300.8,183
-7.600,298.9,183
-7.659,297.5,183
-7.730,303.2,183
-7.807,308.6,183
-7.889,314.3,183
-7.952,307.7,183
-8.023,308.3,183
-8.080,301.7,183
-8.113,286.3,183
-8.132,271.7,183
-8.184,281.3,183
-8.253,294.2,183
-8.345,312.1,183
-8.487,346.5,183
-8.564,331.3,183
-8.618,312.1,183
-8.672,302.6,183
-8.679,274.3,183
-8.645,151.1,183
-8.611,89.6,184
-8.576,131.3,184
-8.573,183.6,184
-8.539,178.8,184
-8.505,176.4,183
-8.472,165.2,183
-8.438,159.6,182
-8.424,192.3,182
-8.453,230.2,181
-8.482,249.1,182
-8.493,249.5,181
-8.537,265.8,181
-8.580,273.9,181
-8.621,276.9,181
-8.714,304.5,180
-8.781,305.7,180
-8.824,293.9,180
-8.877,293.4,180
-8.909,282.2,180
-8.954,283.6,180
-9.003,285.8,180
-9.080,301.4,180
-9.166,313.7,181
-9.239,313.4,181
-9.265,289.7,181
-9.271,268.3,181
-9.289,263.2,182
-9.329,271.6,182
-9.376,279.3,182
-9.450,297.1,182
-9.525,306.1,182
-9.631,326.5,182
-9.684,310.3,182
-9.719,293.1,182
-9.744,279.6,182
-9.774,275.3,182
-9.788,265.1,182
-9.786,252.1,182
-9.810,258.5,182
-9.827,258.3,182
-9.816,244.6,182
-9.844,256.8,182
-9.912,282.9,182
-10.000,306,181
-10.087,317.5,181
-10.088,279.7,181
-10.088,260.9,181
-10.066,240.4,181
-10.056,235.7,181
-10.049,235.4,181
-10.012,150.7,181
-9.976,108.3,181
-9.939,125.2,182
-9.903,133.6,181
-9.916,193.8,181
-9.962,240.9,181
-10.006,262.9,181
-10.022,260.5,181
-10.004,241.7,181
-9.984,231.9,180
-9.965,226.9,180
-10.025,264,180
-9.988,231,181
-9.951,155.5,181
-9.915,117.7,181
-9.879,114.9,181
-9.842,113.4,181
-9.806,139.2,181
-9.770,123.1,181
-9.864,229.1,181
-9.958,282,181
-10.058,312,181
-10.158,326.5,181
-10.285,347.8,181
-10.408,356.4,181
-10.500,345.2,181
-10.561,324.6,180
-10.618,311.8,180
-10.702,319.4,179
-10.776,317.7,179
-10.849,316.8,179
-10.912,311.4,179
-10.986,314.2,179
-11.063,317.6,179
-11.106,301.8,179
-11.100,269.4,180
-11.110,261.7,180
-11.193,293.9,180
-11.232,288.4,180
-11.226,262.7,180
-11.233,256.9,180
-11.194,215.4,180
-11.168,216.2,181
-11.129,193.1,181
-11.206,256.6,181
-11.282,288.3,181
-11.433,341.6,181
-11.572,361.8,181
-11.651,342.9,181
-11.711,323.5,181
-11.805,331.2,182
-11.932,351.1,182
-12.059,361.6,182
-12.169,358.3,182
-12.218,326.1,182
-12.301,327.6,183
-12.358,314.8,183
-12.440,321.4,183
-12.531,329.2,183
-12.613,328.1,183
-12.713,337.5,183
-12.824,347.3,184
-12.901,335.1,183
-12.959,320.1,183
-12.986,296.5,183
-13.009,283.3,183
-13.023,272.1,183
-13.041,268.1,183
-13.048,261,183
-13.007,233.5,184
-12.965,187.3,184
-12.924,164.1,184
-12.882,169.1,183
-12.840,168.5,183
-12.799,180.3,183
-12.850,238.6,183
-12.886,260.8,182
-12.925,272.9,182
-12.885,240,182
-12.844,221,182
-12.802,207.5,182
-12.761,203.2,182
-12.720,170.1,182
-12.678,139.1,182
-12.637,123.5,183
-12.679,205.8,183
-12.721,246.9,183
-12.764,267.9,183
-12.812,281.5,184
-12.848,281.7,184
